id	pt	en
1	revolution 3	revolution 3
2	Começar	Start
3	Qual produto você gostaria de personalizar?	Which product would you like to personalize?
4	Voltar à tela inicial	Back to previous page
5	Produto	Product
6	Mensagem	Message
7	Figura	Image
8	Visualizar	Preview
9	E aí, como será sua mensagem especial?	So, what special message do you want to add?
10	Personalizar	Personalize
11	Mensagens prontas	Template messages
12	Escreva aqui sua mensagem	Write your message here
13	Máximo de 15 caracteres	Maximum of 15 characters
14	Tipo de letra	Letter type
15	Forte	Strong
16	Manuscrita	Handwritten
17	Limite de gravação	Engraving limits
18	Passo anterior	Previous step
19	Próximo passo	Next Step
20	Quer incrementar sua mensagem?	Do you want to add an image to your message?
21	Escolha uma figurinha	Choose an image
22	Olha só como vai ficar!	This is how it's going to look like
23	OK, pode aplicar a mensagem	Ok, apply message
24	Atenção!	Attention
25	Não se esqueça de verificar se a caneta está na cor desejada antes de prosseguir!	Don't forget to verify if the right pen color has been positioned before proceeding
26	Cancelar	Cancel
27	OK, prosseguir	Ok, proceed
28	Sua surpresa especial está sendo preparada...	Your special surprise is being prepared
29	Seu presente está pronto!	Your gift is ready!
30	Em quais quadrantes está sua surpresa?	In which quadrants are you going to engrave the message?
31	Cuidado para posicionar sua mensagem nas superfícies planas do produto e sem impressões pré-existentes. Assim sua surpresa vai ficar muito mais bonita!	Make sure to position the message on the flat surfaces of yout product. This way, your message will look a lot nicer!
32	OK	OK
